Time,PacketsReceived,ACKsReceived,DataPacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,0,0,0,0
2,0,0,0,0
3,10,447,0,4.608
4,10,2254,0,6.72
5,10,2229,0,6.72
6,9,2253,1,6.048
7,10,2248,0,6.72
8,10,2212,0,6.72
9,10,2224,0,6.72
10,10,2211,0,6.72
11,10,2201,0,6.72
12,10,2183,0,6.72
13,10,2190,0,6.72
14,9,2185,0,6.048
15,10,2202,0,6.72
16,10,2171,0,6.72
17,10,2108,0,6.72
18,10,2104,0,6.72
19,10,2142,0,6.72
20,10,2157,0,6.72
21,10,2078,0,6.72
22,10,2068,0,6.72
23,10,2110,0,6.72
24,10,2090,0,6.72
25,10,2099,0,6.72
26,10,2096,0,6.72
27,10,2127,0,6.72
28,10,2126,0,6.72
29,10,2169,0,6.72
30,10,2195,0,6.72
31,10,2225,0,6.72
32,9,2183,0,6.048
33,10,2202,0,6.72
34,10,2218,0,6.72
35,10,2171,0,6.72
36,10,2190,0,6.72
37,10,2211,0,6.72
38,10,2186,0,6.72
39,11,2207,0,6.944
40,10,2172,0,6.72
41,10,2174,0,6.72
42,10,2175,0,6.72
43,10,2152,0,6.72
44,10,2161,0,6.72
45,9,2178,0,6.048
46,10,2153,0,6.72
47,10,2161,0,6.72
48,10,2153,0,6.72
49,10,2175,0,6.72
50,10,2179,0,6.72
51,10,2147,0,6.72
52,10,2131,0,6.72
53,10,2193,0,6.72
54,10,2166,0,6.72
55,10,2177,0,6.72
56,10,2188,0,6.72
57,10,2141,0,6.72
58,10,2148,0,6.72
59,10,2145,0,6.72
60,10,2132,0,6.72
61,10,2147,0,6.72
62,10,2127,0,6.72
63,9,2134,0,6.048
64,10,2152,0,6.72
65,10,2145,0,6.72
66,10,2093,0,6.72
67,10,2112,0,6.72
68,10,2138,0,6.72
69,10,2161,0,6.72
70,10,2128,0,6.72
71,10,2120,0,6.72
72,10,2118,0,6.72
73,10,2124,0,6.72
74,11,2113,0,6.944
75,10,2133,0,6.72
76,10,2134,0,6.72
77,10,2147,0,6.72
78,10,2129,0,6.72
79,9,2098,0,6.048
80,10,2135,0,6.72
81,10,2136,0,6.72
82,10,2152,0,6.72
83,10,2161,0,6.72
84,10,2156,0,6.72
85,10,2143,0,6.72
86,10,2178,0,6.72
87,10,2098,0,6.72
88,10,2166,0,6.72
89,9,2110,0,6.048
90,11,2153,0,7.392
91,10,2174,0,6.72
92,10,2111,0,6.72
93,10,2143,0,6.72
94,9,2130,0,6.048
95,10,2132,0,6.72
96,10,2085,0,6.72
97,10,2098,0,6.72
98,8,2093,0,5.376
99,11,2059,1,7.392
100,10,2104,0,6.72
101,10,2080,0,6.72
102,10,2092,0,6.72
103,10,2118,0,6.72
104,8,2066,0,5.376
105,11,2109,0,7.392
106,10,2104,0,6.72
107,11,2069,0,6.944
108,10,2108,0,6.72
109,10,2068,0,6.72
110,10,2110,0,6.72
111,10,2130,0,6.72
112,10,2104,0,6.72
113,10,2088,0,6.72
114,10,2076,0,6.72
115,10,2112,0,6.72
116,10,2088,0,6.72
117,10,2107,0,6.72
118,9,2110,0,6.048
119,9,2097,1,6.048
120,10,2127,0,6.72
121,10,2076,0,6.72
122,10,2128,0,6.72
123,10,2084,0,6.72
124,10,2111,0,6.72
125,10,2090,0,6.72
126,10,2095,0,6.72
127,10,2095,0,6.72
128,10,2135,0,6.72
129,9,2108,0,6.048
130,11,2086,0,7.392
131,10,2114,0,6.72
132,10,2140,0,6.72
133,10,2159,0,6.72
134,9,2099,0,6.048
135,10,2105,0,6.72
136,10,2129,0,6.72
137,10,2133,0,6.72
138,9,2128,1,6.048
139,11,2120,0,6.944
140,10,2127,0,6.72
141,10,2088,0,6.72
142,9,2120,1,6.048
143,10,2125,0,6.72
144,10,2124,0,6.72
145,10,2113,0,6.72
146,10,2126,0,6.72
147,10,2109,0,6.72
148,9,2094,0,6.048
149,8,2129,2,5.376
150,10,2151,0,6.72
151,10,2132,0,6.72
152,10,2121,0,6.72
153,10,2175,0,6.72
154,10,2098,0,6.72
155,10,2122,0,6.72
156,10,2155,0,6.72
157,10,2099,0,6.72
158,10,2100,0,6.72
159,10,2112,0,6.72
160,10,2122,0,6.72
161,9,2100,0,6.048
162,11,2097,0,7.392
163,10,2058,0,6.72
164,9,2121,0,6.048
165,10,2131,0,6.72
166,10,2102,0,6.72
167,10,2111,0,6.72
168,10,2057,0,6.72
169,10,2106,0,6.72
170,10,2121,0,6.72
171,10,2107,0,6.72
172,11,2090,0,6.944
173,10,2080,0,6.72
174,10,2111,0,6.72
175,10,2105,0,6.72
176,10,2014,0,6.72
177,10,2120,0,6.72
178,10,2069,0,6.72
179,10,2099,0,6.72
180,10,2098,0,6.72
181,10,2116,0,6.72
182,9,2081,0,6.048
183,10,2128,0,6.72
184,10,2105,0,6.72
185,10,2082,0,6.72
186,10,2104,0,6.72
187,10,2111,0,6.72
188,10,2108,0,6.72
189,10,2099,0,6.72
190,10,2112,0,6.72
191,9,2097,1,6.048
192,10,2093,0,6.72
193,10,2134,0,6.72
194,10,2116,0,6.72
195,9,2103,0,6.048
196,10,2127,0,6.72
197,10,2147,0,6.72
198,10,2127,0,6.72
199,10,2056,0,6.72
200,10,2116,0,6.72
201,10,2119,0,6.72
202,10,2066,0,6.72
203,10,2096,0,6.72
204,11,2132,0,6.944
