Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,18,804,0,10.96
4,10,2363,0,6.72
5,10,2364,0,6.72
6,10,2356,0,6.72
7,10,2356,0,6.72
8,10,2356,0,6.72
9,9,2370,0,6.048
10,10,2353,0,6.72
11,10,2359,0,6.72
12,10,2362,0,6.72
13,10,2358,0,6.72
14,10,2359,0,6.72
15,10,2354,0,6.72
16,10,2363,0,6.72
17,10,2355,0,6.72
18,10,2350,0,6.72
19,10,2353,0,6.72
20,10,2350,0,6.72
21,10,2361,0,6.72
22,10,2362,0,6.72
23,10,2369,0,6.72
24,10,2352,0,6.72
25,9,2362,0,6.048
26,10,2355,0,6.72
27,10,2344,0,6.72
28,10,2352,0,6.72
29,10,2364,0,6.72
30,10,2330,0,6.72
31,10,2355,0,6.72
32,10,2343,0,6.72
33,10,2356,0,6.72
34,10,2347,0,6.72
35,10,2365,0,6.72
36,10,2352,0,6.72
37,10,2356,0,6.72
38,10,2359,0,6.72
39,10,2355,0,6.72
40,10,2363,0,6.72
41,10,2356,0,6.72
42,9,2346,0,6.048
43,10,2363,0,6.72
44,10,2359,0,6.72
45,10,2351,0,6.72
46,10,2352,0,6.72
47,10,2353,0,6.72
48,10,2356,0,6.72
49,10,2346,0,6.72
50,11,2349,0,6.944
51,10,2345,0,6.72
52,10,2356,0,6.72
53,10,2371,0,6.72
54,10,2357,0,6.72
55,10,2344,0,6.72
56,10,2358,0,6.72
57,10,2351,0,6.72
58,10,2354,0,6.72
59,9,2363,0,6.048
60,10,2357,0,6.72
61,10,2352,0,6.72
62,10,2356,0,6.72
63,10,2364,0,6.72
64,10,2357,0,6.72
65,10,2364,0,6.72
66,10,2350,0,6.72
67,10,2355,0,6.72
68,10,2354,0,6.72
69,10,2364,0,6.72
70,10,2366,0,6.72
71,10,2363,0,6.72
72,10,2357,0,6.72
73,10,2360,0,6.72
74,10,2350,0,6.72
75,9,2368,0,6.048
76,10,2366,0,6.72
77,10,2353,0,6.72
78,10,2353,0,6.72
79,10,2357,0,6.72
80,10,2372,0,6.72
81,10,2354,0,6.72
82,10,2366,0,6.72
83,10,2373,0,6.72
84,10,2364,0,6.72
85,10,2358,0,6.72
86,10,2361,0,6.72
87,10,2354,0,6.72
88,10,2355,0,6.72
89,10,2368,0,6.72
90,10,2358,0,6.72
91,10,2344,0,6.72
92,10,2362,0,6.72
93,9,2365,0,6.048
94,10,2351,0,6.72
95,10,2366,0,6.72
96,10,2352,0,6.72
97,11,2363,0,6.944
98,10,2357,0,6.72
99,10,2366,0,6.72
100,10,2358,0,6.72
101,10,2358,0,6.72
102,10,2346,0,6.72
103,10,2353,0,6.72
104,10,2362,0,6.72
105,10,2353,0,6.72
106,10,2350,0,6.72
107,10,2357,0,6.72
108,10,2363,0,6.72
109,9,2352,0,6.048
110,10,2365,0,6.72
111,10,2356,0,6.72
112,10,2355,0,6.72
113,10,2350,0,6.72
114,10,2366,0,6.72
115,10,2366,0,6.72
116,10,2364,0,6.72
117,10,2358,0,6.72
118,10,2366,0,6.72
119,10,2354,0,6.72
120,10,2368,0,6.72
121,10,2361,0,6.72
122,10,2360,0,6.72
123,10,2354,0,6.72
124,10,2351,0,6.72
125,10,2362,0,6.72
126,10,2364,0,6.72
127,9,2359,0,6.048
128,10,2361,0,6.72
129,10,2359,0,6.72
130,10,2354,0,6.72
131,10,2358,0,6.72
132,10,2359,0,6.72
133,10,2354,0,6.72
134,10,2361,0,6.72
135,10,2363,0,6.72
136,10,2365,0,6.72
137,10,2355,0,6.72
138,10,2361,0,6.72
139,10,2349,0,6.72
140,10,2358,0,6.72
141,10,2357,0,6.72
142,9,2372,0,6.048
143,10,2356,0,6.72
144,11,2350,0,6.944
145,10,2365,0,6.72
146,10,2363,0,6.72
147,10,2360,0,6.72
148,10,2363,0,6.72
149,10,2361,0,6.72
150,10,2355,0,6.72
151,10,2335,0,6.72
152,10,2350,0,6.72
153,10,2366,0,6.72
154,10,2361,0,6.72
155,10,2346,0,6.72
156,10,2363,0,6.72
157,10,2361,0,6.72
158,10,2357,0,6.72
159,9,2363,0,6.048
160,10,2346,0,6.72
161,10,2369,0,6.72
162,10,2363,0,6.72
163,10,2354,0,6.72
164,10,2355,0,6.72
165,10,2363,0,6.72
166,10,2354,0,6.72
167,10,2360,0,6.72
168,10,2359,0,6.72
169,10,2353,0,6.72
170,10,2353,0,6.72
171,10,2343,0,6.72
172,10,2360,0,6.72
173,10,2356,0,6.72
174,10,2363,0,6.72
175,9,2349,0,6.048
176,10,2353,0,6.72
177,10,2361,0,6.72
178,10,2363,0,6.72
179,10,2360,0,6.72
180,10,2351,0,6.72
181,10,2356,0,6.72
182,10,2364,0,6.72
183,10,2353,0,6.72
184,10,2347,0,6.72
185,10,2354,0,6.72
186,10,2365,0,6.72
187,10,2364,0,6.72
188,10,2354,0,6.72
189,10,2354,0,6.72
190,10,2357,0,6.72
191,10,2367,0,6.272
192,10,2350,0,6.72
193,10,2342,0,6.72
194,10,2371,0,6.72
195,10,2366,0,6.72
196,10,2352,0,6.72
197,10,2353,0,6.72
198,10,2359,0,6.72
199,10,2365,0,6.72
200,10,2369,0,6.72
201,10,2353,0,6.72
202,10,2366,0,6.72
203,10,2371,0,6.72
204,10,2358,0,6.72
205,10,2363,0,6.72
206,10,2366,0,6.72
207,9,2367,0,6.048
208,10,2349,0,6.72
209,10,2364,0,6.72
210,10,2349,0,6.72
211,10,2355,0,6.72
212,10,2356,0,6.72
213,10,2363,0,6.72
214,10,2358,0,6.72
215,10,2360,0,6.72
216,10,2356,0,6.72
217,10,2360,0,6.72
218,10,2365,0,6.72
219,10,2373,0,6.72
220,10,2353,0,6.72
221,10,2359,0,6.72
222,10,2349,0,6.72
223,10,2372,0,6.72
224,9,2356,0,6.048
225,10,2349,0,6.72
226,10,2346,0,6.72
227,10,2358,0,6.72
228,10,2351,0,6.72
229,10,2349,0,6.72
230,10,2360,0,6.72
231,10,2358,0,6.72
232,10,2347,0,6.72
233,10,2352,0,6.72
234,10,2356,0,6.72
235,10,2349,0,6.72
236,10,2338,0,6.72
237,10,2354,0,6.72
238,11,2352,0,6.944
239,10,2366,0,6.72
240,9,2361,0,6.048
241,10,2367,0,6.72
242,10,2355,0,6.72
243,10,2337,0,6.72
244,10,2365,0,6.72
245,10,2369,0,6.72
246,10,2362,0,6.72
247,10,2361,0,6.72
248,10,2363,0,6.72
249,10,2360,0,6.72
250,10,2356,0,6.72
251,10,2352,0,6.72
252,10,2366,0,6.72
253,10,2352,0,6.72
254,10,2352,0,6.72
255,10,2350,0,6.72
256,10,2365,0,6.72
257,9,2363,0,6.048
258,10,2343,0,6.72
259,10,2359,0,6.72
260,10,2364,0,6.72
261,10,2360,0,6.72
262,10,2353,0,6.72
263,11,2356,0,6.944
264,10,2359,0,6.72
265,10,2355,0,6.72
266,10,2369,0,6.72
267,10,2362,0,6.72
268,10,2347,0,6.72
269,10,2363,0,6.72
270,10,2361,0,6.72
271,10,2363,0,6.72
272,10,2350,0,6.72
273,9,2362,0,6.048
274,10,2365,0,6.72
275,10,2349,0,6.72
276,10,2348,0,6.72
277,10,2357,0,6.72
278,10,2354,0,6.72
279,10,2353,0,6.72
280,10,2369,0,6.72
281,10,2342,0,6.72
282,10,2365,0,6.72
283,10,2355,0,6.72
284,10,2361,0,6.72
285,10,2362,0,6.72
286,10,2353,0,6.72
287,11,2350,0,6.944
288,10,2354,0,6.72
289,9,2358,0,6.048
290,10,2346,0,6.72
291,10,2362,0,6.72
292,10,2354,0,6.72
293,10,2366,0,6.72
294,10,2348,0,6.72
295,10,2353,0,6.72
296,10,2357,0,6.72
297,10,2359,0,6.72
298,10,2364,0,6.72
299,10,2362,0,6.72
300,10,2359,0,6.72
301,10,2352,0,6.72
302,10,2346,0,6.72
303,10,1521,0,6.136
304,0,0,0,0
