Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s), Destination Port
0,-1,-1,-1,-1,80
1,-1,-1,-1,-1,80
2,0,0,0,0,80
3,0,0,0,0,80
4,1100,18,0,12014.784,80
5,2519,10,0,27840.8,80
6,2542,10,0,28095.04,80
7,2536,10,0,28028.48,80
8,2542,10,0,28095.04,80
9,2534,10,0,28004.48,80
10,2527,10,0,27931.36,80
11,2531,10,0,27973.92,80
12,2546,10,0,28137.6,80
13,2523,9,0,27894.688,80
14,2540,10,0,28071.04,80
15,2534,10,0,28009.92,80
16,2526,10,0,27913.92,80
17,2531,10,0,27973.92,80
18,2524,10,0,27895.36,80
19,2533,10,0,27997.92,80
20,2538,10,0,28047.04,80
21,2532,10,0,27985.92,80
22,2523,10,0,27883.36,80
23,2541,10,0,28083.04,80
24,2533,10,0,27997.92,80
25,2527,10,0,27925.92,80
26,2536,10,0,28028.48,80
27,2530,10,0,27961.92,80
28,2525,10,0,27907.36,80
29,2539,10,0,28064.48,80
30,2538,9,0,28058.368,80
31,2525,10,0,27907.36,80
32,2527,10,0,27925.92,80
33,2539,10,0,28064.48,80
34,2533,10,0,27992.48,80
35,2533,10,0,27997.92,80
36,2542,10,0,28095.04,80
37,2527,10,0,27925.92,80
38,2523,10,0,27888.8,80
39,2534,10,0,28004.48,80
40,2524,10,0,27895.36,80
41,2530,10,0,27961.92,80
42,2536,10,0,28028.48,80
43,2526,10,0,27919.36,80
44,2531,10,0,27968.48,80
45,2527,10,0,27931.36,80
46,2541,9,0,28083.04,80
47,2534,10,0,28015.808,80
48,2533,10,0,27997.92,80
49,2534,10,0,28004.48,80
50,2527,10,0,27931.36,80
51,2544,10,0,28113.6,80
52,2529,10,0,27949.92,80
53,2529,11,0,27943.584,80
54,2532,10,0,27980.48,80
55,2526,10,0,27919.36,80
56,2527,10,0,27931.36,80
57,2532,10,0,27980.48,80
58,2537,10,0,28040.48,80
59,2536,10,0,28028.48,80
60,2534,10,0,28004.48,80
61,2533,10,0,27997.92,80
62,2536,10,0,28028.48,80
63,2522,9,0,27882.688,80
64,2536,10,0,28028.48,80
65,2526,10,0,27919.36,80
66,2532,10,0,27980.48,80
67,2521,10,0,27864.8,80
68,2531,10,0,27973.92,80
69,2518,10,0,27828.8,80
70,2528,10,0,27937.92,80
71,2527,10,0,27931.36,80
72,2533,10,0,27992.48,80
73,2542,10,0,28095.04,80
74,2519,10,0,27840.8,80
75,2530,10,0,27961.92,80
76,2542,10,0,28095.04,80
77,2533,10,0,27992.48,80
78,2526,10,0,27919.36,80
79,2528,9,0,27937.92,80
80,2526,10,0,27930.688,80
81,2545,10,0,28125.6,80
82,2535,10,0,28021.92,80
83,2538,10,0,28047.04,80
84,2537,10,0,28040.48,80
85,2522,10,0,27871.36,80
86,2531,10,0,27973.92,80
87,2532,10,0,27985.92,80
88,2532,10,0,27985.92,80
89,2533,10,0,27992.48,80
90,2535,10,0,28016.48,80
91,2535,10,0,28016.48,80
92,2534,10,0,28009.92,80
93,2541,10,0,28083.04,80
94,2537,10,0,28040.48,80
95,2539,10,0,28059.04,80
96,2531,10,0,27973.92,80
97,2537,9,0,28051.808,80
98,2533,10,0,27992.48,80
99,2535,10,0,28016.48,80
100,2534,10,0,28009.92,80
101,2537,10,0,28040.48,80
102,2524,11,0,27883.584,80
103,2532,10,0,27980.48,80
104,2526,10,0,27919.36,80
105,2524,10,0,27895.36,80
106,2529,10,0,27949.92,80
107,2522,10,0,27876.8,80
108,2535,10,0,28016.48,80
109,2537,10,0,28040.48,80
110,2536,10,0,28028.48,80
111,2539,10,0,28059.04,80
112,2531,10,0,27973.92,80
113,2526,10,0,27919.36,80
114,2524,10,0,27895.36,80
115,2534,9,0,28015.808,80
116,2534,10,0,28004.48,80
117,2533,10,0,27997.92,80
118,2533,10,0,27992.48,80
119,2534,10,0,28004.48,80
120,2522,10,0,27876.8,80
121,2537,10,0,28040.48,80
122,2530,10,0,27961.92,80
123,2536,10,0,28028.48,80
124,2535,10,0,28016.48,80
125,2524,10,0,27895.36,80
126,2518,10,0,27828.8,80
127,2529,10,0,27949.92,80
128,2524,10,0,27895.36,80
129,2527,10,0,27925.92,80
130,2535,10,0,28021.92,80
131,2538,10,0,28047.04,80
132,2525,10,0,27907.36,80
133,2526,9,0,27930.688,80
134,2536,10,0,28028.48,80
135,2536,10,0,28028.48,80
136,2527,10,0,27925.92,80
137,2525,10,0,27907.36,80
138,2531,10,0,27973.92,80
139,2533,10,0,27992.48,80
140,2531,10,0,27973.92,80
141,2529,10,0,27949.92,80
142,2538,10,0,28052.48,80
143,2533,10,0,27992.48,80
144,2533,10,0,27997.92,80
145,2530,10,0,27961.92,80
146,2529,10,0,27949.92,80
147,2532,10,0,27985.92,80
148,2536,10,0,28028.48,80
149,2527,10,0,27925.92,80
150,2529,10,0,27949.92,80
151,2529,10,0,27954.912,80
152,2534,10,0,28004.48,80
153,2533,10,0,27992.48,80
154,2527,10,0,27931.36,80
155,2530,10,0,27961.92,80
156,2532,10,0,27985.92,80
157,2524,10,0,27895.36,80
158,2530,10,0,27961.92,80
159,2529,10,0,27949.92,80
160,2534,10,0,28004.48,80
161,2536,10,0,28028.48,80
162,2533,10,0,27997.92,80
163,2521,10,0,27859.36,80
164,2521,10,0,27864.8,80
165,2533,10,0,27992.48,80
166,2541,10,0,28083.04,80
167,2528,10,0,27943.36,80
168,2534,9,0,28015.808,80
169,2513,10,0,27774.24,80
170,2524,10,0,27895.36,80
171,2541,10,0,28083.04,80
172,2537,10,0,28040.48,80
173,2547,10,0,28149.6,80
174,2525,10,0,27907.36,80
175,2522,10,0,27871.36,80
176,2530,10,0,27961.92,80
177,2536,10,0,28028.48,80
178,2540,10,0,28071.04,80
179,2526,10,0,27919.36,80
180,2530,10,0,27961.92,80
181,2519,10,0,27840.8,80
182,2526,10,0,27913.92,80
183,2531,10,0,27973.92,80
184,2539,10,0,28064.48,80
185,2533,9,0,28003.808,80
186,2524,10,0,27895.36,80
187,2540,10,0,28071.04,80
188,2540,10,0,28076.48,80
189,2514,10,0,27780.8,80
190,2536,10,0,28028.48,80
191,2537,10,0,28040.48,80
192,2540,10,0,28076.48,80
193,2542,10,0,28095.04,80
194,2536,10,0,28028.48,80
195,2520,10,0,27847.36,80
196,2518,10,0,27828.8,80
197,2527,10,0,27931.36,80
198,2521,10,0,27859.36,80
199,2522,10,0,27876.8,80
200,2530,11,0,27950.144,80
201,2529,9,0,27961.248,80
202,2534,10,0,28004.48,80
203,2530,10,0,27961.92,80
204,2523,10,0,27883.36,80
205,2520,10,0,27852.8,80
206,2532,10,0,27985.92,80
207,2529,10,0,27949.92,80
208,2527,10,0,27925.92,80
209,2532,10,0,27985.92,80
210,2530,10,0,27961.92,80
211,2532,10,0,27985.92,80
212,2520,10,0,27847.36,80
213,2531,10,0,27973.92,80
214,2542,10,0,28095.04,80
215,2537,10,0,28040.48,80
216,2530,10,0,27961.92,80
217,2545,9,0,28136.928,80
218,2527,10,0,27931.36,80
219,2540,10,0,28071.04,80
220,2524,10,0,27895.36,80
221,2541,10,0,28083.04,80
222,2531,10,0,27973.92,80
223,2525,10,0,27907.36,80
224,2534,10,0,28004.48,80
225,2517,10,0,27816.8,80
226,2522,10,0,27876.8,80
227,2531,10,0,27973.92,80
228,2532,10,0,27980.48,80
229,2533,10,0,27997.92,80
230,2524,10,0,27895.36,80
231,2539,10,0,28059.04,80
232,2535,10,0,28016.48,80
233,2533,10,0,27997.472,80
234,2525,10,0,27907.36,80
235,2529,10,0,27949.92,80
236,2533,10,0,27992.48,80
237,2523,10,0,27888.8,80
238,2530,10,0,27961.92,80
239,2528,10,0,27937.92,80
240,2547,10,0,28149.6,80
241,2526,10,0,27919.36,80
242,2534,10,0,28004.48,80
243,2538,10,0,28052.48,80
244,2538,10,0,28047.04,80
245,2524,10,0,27895.36,80
246,2527,10,0,27931.36,80
247,2527,9,0,27925.92,80
248,2535,10,0,28021.92,80
249,2521,9,0,27870.688,80
250,2526,10,0,27919.36,80
251,2536,10,0,28028.48,80
252,2522,10,0,27871.36,80
253,2536,10,0,28028.48,80
254,2538,10,0,28052.48,80
255,2528,10,0,27937.92,80
256,2524,10,0,27895.36,80
257,2529,10,0,27949.92,80
258,2542,10,0,28095.04,80
259,2532,10,0,27985.92,80
260,2533,10,0,27992.48,80
261,2526,10,0,27919.36,80
262,2532,10,0,27985.92,80
263,2541,10,0,28083.04,80
264,2534,10,0,28004.48,80
265,2520,10,0,27852.8,80
266,2529,9,0,27961.248,80
267,2529,11,0,27938.144,80
268,2528,10,0,27937.92,80
269,2535,10,0,28021.92,80
270,2532,10,0,27980.48,80
271,2531,10,0,27973.92,80
272,2523,10,0,27883.36,80
273,2531,10,0,27973.92,80
274,2529,10,0,27949.92,80
275,2531,10,0,27973.92,80
276,2527,10,0,27931.36,80
277,2526,10,0,27913.92,80
278,2539,10,0,28064.48,80
279,2534,10,0,28004.48,80
280,2532,10,0,27985.92,80
281,2529,10,0,27949.92,80
282,2538,10,0,28052.48,80
283,2533,10,0,27992.48,80
284,2526,9,0,27930.688,80
285,2536,10,0,28028.48,80
286,2531,10,0,27968.48,80
287,2534,10,0,28009.92,80
288,2531,10,0,27973.92,80
289,2540,10,0,28071.04,80
290,2520,10,0,27852.8,80
291,2528,10,0,27937.92,80
292,2534,10,0,28004.48,80
293,2531,10,0,27973.92,80
294,2520,10,0,27852.8,80
295,2535,10,0,28016.48,80
296,2529,10,0,27949.92,80
297,2519,10,0,27840.8,80
298,2528,10,0,27937.92,80
299,2536,10,0,28028.48,80
300,2531,10,0,27973.92,80
301,2524,10,0,27894.912,80
302,2530,10,0,27961.92,80
303,2529,10,0,27949.92,80
304,1351,9,0,14902.744,80
305,0,0,0,0,80
